Period,"Austria, Euro","Belgium, Euro","Bulgaria, Bulgarian lev","Cyprus, Euro","Czech Republic, Czech koruna","Germany, Euro","Denmark, Danish krone","Estonia, Estonian kroon","Estonia, Euro","Spain, Euro","Finland, Euro","France, Euro","Greece, Euro","Croatia, Croatian kuna","Hungary, Hungarian forint","Ireland, Euro","Italy, Euro","Lithuania, Euro","Lithuania, Lithuanian litas","Luxembourg, Euro","Latvia, Euro","Latvia, Latvian lats","Malta, Euro","Malta, Maltese lira","Netherlands, Euro","Poland, Polish zloty","Portugal, Euro","Romania, Romanian leu","Sweden, Swedish krona","Slovenia, Euro","Slovenia, Slovenian tolar","Slovakia, Euro","Slovakia, Slovak koruna"
01/09/2022,0.8,0.84,0.12,0.11,6.1,0.84,1.15,,0.94,0.16,1.2,1.12,0.14,0.06,,0.18,1.16,0.25,,0.73,0.62,,0.59,,1.84,5.44,0.05,6.44,1.65,0.11,,0.77,
01/08/2022,0.37,0.37,0.11,0.06,5.98,0.49,0.25,,0.83,0.01,0.62,0.85,0.11,0.06,8.42,0.06,0.88,0.52,,0.72,0.41,,0.54,,1.53,5.22,0.07,6.22,1.21,0.04,,0.48,
01/07/2022,0.23,0.11,0.09,0.05,5.95,0.31,-0.44,,0.59,0.03,0.32,0.64,0.13,0.05,6.96,0.11,0.66,0.43,,0.15,0.12,,0.48,,1.59,4.85,0.09,5.49,0.9,0.03,,0.21,
01/06/2022,0.12,0.14,0.06,0.05,5.37,0.17,-0.45,,0.49,0.01,0.28,0.44,0.12,0.06,4.78,0.02,0.39,0.2,,0.11,0.16,,0.39,,1.47,4.5,0.07,4.37,0.53,0.03,,0.16,
01/05/2022,0.08,0.07,0.04,0.05,4.53,0.14,-0.5,,0.5,0.01,0.16,0.41,0.12,0.08,4.03,0.02,0.47,0.2,,0.1,0.16,,0.38,,1.23,3.38,0.04,3.21,0.38,0.04,,0.21,
01/04/2022,0.1,0.06,0.04,0.05,4.17,0.14,-0.51,,0.44,0.01,0.22,0.42,0.13,0.07,3.86,0.02,0.44,0.13,,0.04,0.14,,0.4,,1.15,2.03,0.04,2.56,0.32,0.03,,0.24,
01/03/2022,0.08,0.07,0.04,0.05,3.51,0.12,-0.54,,0.47,0.01,0.18,0.48,0.13,0.06,3.48,0.11,0.62,0.24,,0.13,0.33,,0.43,,1.08,1.48,0.04,2.05,0.25,0.03,,0.24,
01/02/2022,0.09,0.07,0.04,0.07,3.47,0.06,-0.59,,0.41,0.01,0.21,0.49,0.14,0.04,2.31,0.13,0.64,0.04,,-0.39,0.32,,0.42,,1,1.2,0.04,1.53,0.19,0.05,,0.36,
01/01/2022,0.09,0.15,0.04,0.06,2.79,0.11,-0.57,,0.45,0.01,0.18,0.48,0.14,0.05,2.19,0.13,0.5,0.05,,-0.16,0.25,,0.4,,0.94,0.99,0.04,1.41,0.22,0.04,,0.24,
01/12/2021,0.07,0.08,0.06,0.06,2.32,-0.07,-0.19,,0.42,0.01,0.17,0.32,0.14,0.08,1.58,0.13,0.52,0.03,,0.1,0.2,,0.35,,1,0.69,0.04,1.39,0.23,0.05,,0.5,
